id,name,link,image
1,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/1/60551/60afc26a8d420799fc8bc7e27c968951_o2_featured_v2.jpg?output-format=webp
2,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/1/50471/6fa39637442e85efb64a5c0db7b31b7f_o2_featured_v2.jpg?output-format=webp
3,Kannur Food Point,https://www.zomato.com/bangalore/kannur-food-point-btm/order,https://b.zmtcdn.com/data/pictures/chains/2/57282/2e488a2fdd92381877295b81802c1a33_o2_featured_v2.jpg?output-format=webp
4,Behrouz Biryani,https://www.zomato.com/bangalore/behrouz-biryani-shanti-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/3/18343993/a8c84349c1138e70cf3870a850f5e29d_o2_featured_v2.jpg?output-format=webp
5,Burger King,https://www.zomato.com/bangalore/burger-king-commercial-street/order,https://b.zmtcdn.com/data/pictures/chains/5/61555/8c49ba335683507ba6ddee2dc84966e8_o2_featured_v2.jpg?output-format=webp
6,Donne Biryani Adda,https://www.zomato.com/bangalore/donne-biryani-adda-indiranagar-bangalore/order,https://b.zmtcdn.com/data/pictures/1/19684181/14dddc8d4d8c5d55bd6ab839752e787f_o2_featured_v2.jpg?output-format=webp
7,Pizza Hut,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order,https://b.zmtcdn.com/data/pictures/chains/8/51418/e81f66522df2f3dbc3c9d0aa3ce0756d_o2_featured_v2.jpg?output-format=webp
8,Sreeraj Lassi Bar - Since 1973,https://www.zomato.com/bangalore/sreeraj-lassi-bar-since-1973-shivajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/2/53762/10fbea584a3f287b5999dabf63ceeb03_o2_featured_v2.jpg?output-format=webp
9,The Cake Deluxe,https://www.zomato.com/bangalore/the-cake-deluxe-rajajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/1/19872631/9c86c4c5b95709fb2a1f197bde7ff646_o2_featured_v2.jpg?output-format=webp
10,Meghana Foods,https://www.zomato.com/bangalore/meghana-foods-residency-road/order,
11,KFC,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order,
12,McDonald's,https://www.zomato.com/bangalore/mcdonalds-mg-road/order,
13,EasyBites By Empire,https://www.zomato.com/bangalore/easybites-by-empire-brigade-road-bangalore/order,
14,Imperial Restaurant - Since 1954,https://www.zomato.com/bangalore/imperial-restaurant-since-1954-residency-road-bangalore/order,
15,La Pino'z Pizza,https://www.zomato.com/bangalore/la-pinoz-pizza-frazer-town-bangalore/order,
16,Polar Bear,https://www.zomato.com/bangalore/polar-bear-1-basavanagudi/order,
17,Al-Bek,https://www.zomato.com/bangalore/al-bek-rajajinagar-bangalore/order,
18,Nandhana Palace,https://www.zomato.com/bangalore/nandhana-palace-indiranagar/order,
19,Onesta,https://www.zomato.com/bangalore/onesta-indiranagar-bangalore/order,
20,Namaste,https://www.zomato.com/bangalore/namaste-vijay-nagar-bangalore/order,
21,Wendy's Burgers,https://www.zomato.com/bangalore/wendys-burgers-shanti-nagar-bangalore/order,
22,Bakingo,https://www.zomato.com/bangalore/bakingo-vasanth-nagar-bangalore/order,
23,Royal Restaurant,https://www.zomato.com/bangalore/royal-restaurant-shivajinagar/order,
24,Mani's Dum Biryani,https://www.zomato.com/manis/order,
25,Kwality Wallâ€™s Frozen Dessert and Ice Cream Shop,https://www.zomato.com/bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-1-seshadripuram-bangalore/order,
26,New Taj Darbar,https://www.zomato.com/bangalore/new-taj-darbar-shivajinagar-bangalore/order,
27,CakeZone Patisserie,https://www.zomato.com/cakeszone/order,
28,Pizza@99,https://www.zomato.com/bangalore/pizza@99-rajajinagar-bangalore/order,
29,Chicking,https://www.zomato.com/bangalore/chicking-1-rajajinagar-bangalore/order,
30,Beijing Bites,https://www.zomato.com/bangalore/beijing-bites-richmond-road/order,
31,Sharief Bhai,https://www.zomato.com/bangalore/sharief-bhai-frazer-town-bangalore/order,
32,Rolls On Wheels - Shawarma & Wraps,https://www.zomato.com/bangalore/rolls-on-wheels-shawarma-wraps-cunningham-road-bangalore/order,
33,Chinese Wok,https://www.zomato.com/bangalore/chinese-wok-hosur-road-bangalore/order,
